epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,264.219,1.57986,2.59936,1.29028,0.75044,0.53792,0.52171,0.30933,1.26049,1.5534,1.23176,0.00019992,0.00019992,0.00019992
2,531.362,1.35422,1.17498,1.22727,0.574,0.45978,0.43032,0.23402,1.49873,1.21687,1.47093,0.0003947,0.0003947,0.0003947
3,782.251,1.25822,0.79644,1.15174,0.52744,0.67226,0.58625,0.35026,1.33827,1.54744,1.28397,0.000575736,0.000575736,0.000575736
4,1032.86,1.21692,0.73924,1.14576,0.81289,0.72889,0.76167,0.49283,1.34371,0.72208,1.32933,0.000743028,0.000743028,0.000743028
5,1281.99,1.20759,0.707,1.1704,0.74218,0.6722,0.67364,0.36631,1.27034,0.72772,1.27508,0.000723044,0.000723044,0.000723044
6,1538.54,1.16386,0.65727,1.12191,0.7341,0.68467,0.68621,0.39196,1.25156,0.72187,1.26507,0.000695555,0.000695555,0.000695555
7,1799.37,1.16128,0.61924,1.11094,0.83269,0.67124,0.72415,0.41312,1.28358,0.64567,1.27723,0.000668066,0.000668066,0.000668066
8,2063.68,1.11244,0.59177,1.11546,0.81021,0.7635,0.87172,0.52099,1.30487,0.55845,1.26348,0.000640577,0.000640577,0.000640577
9,2332.08,1.06712,0.57615,1.09043,0.8297,0.89491,0.90677,0.57919,1.2712,0.58308,1.26024,0.000613088,0.000613088,0.000613088
10,2600.05,1.04205,0.53963,1.06691,0.82876,0.9064,0.87703,0.58991,1.2502,0.54651,1.2754,0.000585599,0.000585599,0.000585599
11,2861.88,1.01633,0.50616,1.05732,0.89762,0.86492,0.931,0.61016,1.26288,0.51015,1.25728,0.00055811,0.00055811,0.00055811
12,3127.2,1.01422,0.49325,1.04894,0.86309,0.85624,0.91765,0.61264,1.2351,0.51266,1.24066,0.000530621,0.000530621,0.000530621
13,3404.58,0.99717,0.48825,1.0579,0.88311,0.88246,0.91944,0.59147,1.2494,0.52461,1.26163,0.000503132,0.000503132,0.000503132
14,3671.44,0.96103,0.46709,1.02822,0.77873,0.94626,0.92948,0.60463,1.25867,0.50708,1.25158,0.000475643,0.000475643,0.000475643
15,3966.58,0.95055,0.47319,1.03463,0.84894,0.93308,0.9396,0.5951,1.31893,0.53594,1.30856,0.000448154,0.000448154,0.000448154
16,4243.58,0.91943,0.43823,1.02501,0.85505,0.8745,0.91742,0.56135,1.27149,0.49126,1.27595,0.000420665,0.000420665,0.000420665
17,4523.53,0.90879,0.43719,1.01136,0.83919,0.88784,0.93435,0.59523,1.26881,0.49511,1.26508,0.000393176,0.000393176,0.000393176
18,4780.27,0.89493,0.44545,1.01283,0.79209,0.93635,0.93121,0.58746,1.28494,0.53522,1.27489,0.000365687,0.000365687,0.000365687
19,5030.01,0.89461,0.42794,1.00929,0.90372,0.8844,0.92003,0.60756,1.24813,0.48059,1.25628,0.000338198,0.000338198,0.000338198
20,5279.02,0.85903,0.41202,0.98527,0.90346,0.88709,0.91852,0.60171,1.2619,0.48385,1.26954,0.000310709,0.000310709,0.000310709
21,5524.68,0.8142,0.38217,1.01226,0.89075,0.87448,0.9178,0.59441,1.24649,0.46722,1.27412,0.00028322,0.00028322,0.00028322
22,5811.55,0.77284,0.35485,0.98554,0.89236,0.89107,0.92455,0.59653,1.24594,0.47301,1.29243,0.000255731,0.000255731,0.000255731
23,6067.83,0.74073,0.34817,0.97869,0.88502,0.87174,0.91972,0.60879,1.27222,0.47618,1.30238,0.000228242,0.000228242,0.000228242
24,6347.53,0.74636,0.33938,0.96275,0.89541,0.89716,0.93798,0.63769,1.24668,0.4622,1.30444,0.000200753,0.000200753,0.000200753
25,6621.94,0.68633,0.31655,0.94037,0.89814,0.84045,0.90586,0.61474,1.23813,0.47334,1.30596,0.000173264,0.000173264,0.000173264
26,6903.45,0.6658,0.32028,0.93538,0.89649,0.85106,0.89961,0.59774,1.23586,0.46501,1.317,0.000145775,0.000145775,0.000145775
27,7207.16,0.65029,0.31026,0.9397,0.91063,0.8708,0.91411,0.60995,1.22229,0.46045,1.29536,0.000118286,0.000118286,0.000118286
28,7515.73,0.62935,0.30323,0.92384,0.91129,0.8778,0.91904,0.62047,1.22254,0.463,1.29857,9.0797e-05,9.0797e-05,9.0797e-05
29,7825.09,0.62073,0.2891,0.93047,0.90772,0.87992,0.92222,0.62109,1.22649,0.45213,1.3074,6.3308e-05,6.3308e-05,6.3308e-05
30,8146.04,0.58897,0.28004,0.89626,0.90879,0.88,0.92526,0.62491,1.2127,0.45063,1.29759,3.5819e-05,3.5819e-05,3.5819e-05
