epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,283.268,1.63396,2.0248,1.33863,0.63973,0.74837,0.77494,0.46458,1.37364,2.7223,1.36495,0.00028339,0.00028339,0.00028339
2,559.326,1.3346,1.0179,1.17601,0.86547,0.76638,0.85516,0.54522,1.31207,1.66434,1.3124,0.000554569,0.000554569,0.000554569
3,830.848,1.24841,0.80976,1.20017,0.30541,0.54898,0.27146,0.14828,1.54181,21.3432,1.48108,0.000796043,0.000796043,0.000796043
4,1119.12,1.20631,0.77846,1.16137,0.47124,0.50275,0.47944,0.24262,1.50566,3.52988,1.45932,0.00100781,0.00100781,0.00100781
5,1389.44,1.22995,0.73596,1.14979,0.83054,0.7673,0.85984,0.52076,1.38665,1.22657,1.36815,0.00118987,0.00118987,0.00118987
6,1656.18,1.1973,0.6887,1.13447,0.76752,0.75521,0.90073,0.54809,1.32978,1.23335,1.32365,0.00125442,0.00125442,0.00125442
7,1922.14,1.22156,0.66351,1.11757,0.94026,0.90774,0.96572,0.56919,1.42791,0.67932,1.44131,0.0011719,0.0011719,0.0011719
8,2191.28,1.22645,0.67252,1.22093,0.89023,0.8857,0.95712,0.56453,1.36487,0.72918,1.396,0.00108938,0.00108938,0.00108938
9,2458.3,1.20093,0.61103,1.17736,0.9211,0.91232,0.96507,0.58962,1.3357,0.78573,1.36841,0.00100687,0.00100687,0.00100687
10,2726.61,1.12654,0.58749,1.08927,0.96277,0.92506,0.97322,0.61656,1.3035,0.5838,1.34121,0.000924352,0.000924352,0.000924352
11,2993.25,1.08739,0.50769,1.18583,0.9532,0.918,0.96889,0.5996,1.32,0.58271,1.31585,0.000841835,0.000841835,0.000841835
12,3275.89,1.03747,0.52668,1.14157,0.92098,0.92098,0.95732,0.57121,1.38699,0.61039,1.37488,0.000759318,0.000759318,0.000759318
13,3551.66,1.06643,0.48692,1.12856,0.92869,0.86105,0.94378,0.58969,1.33718,0.65654,1.32376,0.000676802,0.000676802,0.000676802
14,3831.04,1.03009,0.46563,1.1259,0.93081,0.95138,0.97681,0.64219,1.25274,0.50236,1.29141,0.000594286,0.000594286,0.000594286
15,4106.16,0.98816,0.44234,1.11529,0.95157,0.92118,0.97508,0.6263,1.2665,0.51854,1.28431,0.000511769,0.000511769,0.000511769
16,4384.73,0.95481,0.43298,1.08646,0.96842,0.92261,0.971,0.62618,1.28315,0.48667,1.31615,0.000429253,0.000429253,0.000429253
17,4660.82,0.91893,0.41206,1.09093,0.9809,0.93852,0.97536,0.63028,1.27793,0.4711,1.28929,0.000346736,0.000346736,0.000346736
18,4935.08,0.89807,0.39627,1.07318,0.97339,0.9257,0.98115,0.64456,1.24915,0.47293,1.28461,0.00026422,0.00026422,0.00026422
19,5214.17,0.88985,0.39107,1.02624,0.97472,0.94131,0.9794,0.63542,1.27764,0.47154,1.31834,0.000181703,0.000181703,0.000181703
20,5488.36,0.82266,0.36983,1.01276,0.97083,0.94265,0.97944,0.64172,1.24784,0.45147,1.29175,9.91865e-05,9.91865e-05,9.91865e-05
